"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2020,3,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Demanda No Aturats",117
2020,3,6,"Gràcia",29,"el Coll","Dones","Demanda No Aturats",50
2020,3,6,"Gràcia",30,"la Salut","Dones","Demanda No Aturats",102
2020,3,6,"Gràcia",31,"la Vila de Gràcia","Dones","Demanda No Aturats",311
2020,3,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Demanda No Aturats",232
2020,3,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Demanda No Aturats",184
2020,3,7,"Horta-Guinardó",34,"Can Baró","Dones","Demanda No Aturats",73
2020,3,7,"Horta-Guinardó",35,"el Guinardó","Dones","Demanda No Aturats",242
2020,3,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Demanda No Aturats",71
2020,3,7,"Horta-Guinardó",37,"el Carmel","Dones","Demanda No Aturats",245
2020,3,7,"Horta-Guinardó",38,"la Teixonera","Dones","Demanda No Aturats",77
2020,3,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Demanda No Aturats",47
2020,3,7,"Horta-Guinardó",40,"Montbau","Dones","Demanda No Aturats",34
2020,3,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Demanda No Aturats",36
2020,3,7,"Horta-Guinardó",42,"la Clota","Dones","Demanda No Aturats",3
2020,3,7,"Horta-Guinardó",43,"Horta","Dones","Demanda No Aturats",207
2020,3,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Demanda No Aturats",193
2020,3,8,"Nou Barris",45,"Porta","Dones","Demanda No Aturats",183
2020,3,8,"Nou Barris",46,"el Turó de la Peira","Dones","Demanda No Aturats",121
2020,3,8,"Nou Barris",47,"Can Peguera","Dones","Demanda No Aturats",17
2020,3,8,"Nou Barris",48,"la Guineueta","Dones","Demanda No Aturats",144
2020,3,8,"Nou Barris",49,"Canyelles","Dones","Demanda No Aturats",70
2020,3,8,"Nou Barris",50,"les Roquetes","Dones","Demanda No Aturats",152
2020,3,8,"Nou Barris",51,"Verdun","Dones","Demanda No Aturats",116
2020,3,8,"Nou Barris",52,"la Prosperitat","Dones","Demanda No Aturats",206
2020,3,8,"Nou Barris",53,"la Trinitat Nova","Dones","Demanda No Aturats",76
2020,3,8,"Nou Barris",54,"Torre Baró","Dones","Demanda No Aturats",20
2020,3,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Demanda No Aturats",107
2020,3,8,"Nou Barris",56,"Vallbona","Dones","Demanda No Aturats",12
2020,3,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Demanda No Aturats",99
2020,3,9,"Sant Andreu",58,"Baró de Viver","Dones","Demanda No Aturats",20
2020,3,9,"Sant Andreu",59,"el Bon Pastor","Dones","Demanda No Aturats",114
2020,3,9,"Sant Andreu",60,"Sant Andreu","Dones","Demanda No Aturats",460
2020,3,9,"Sant Andreu",61,"la Sagrera","Dones","Demanda No Aturats",224
2020,3,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Demanda No Aturats",109
2020,3,9,"Sant Andreu",63,"Navas","Dones","Demanda No Aturats",166
2020,3,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Demanda No Aturats",285
2020,3,10,"Sant Martí",65,"el Clot","Dones","Demanda No Aturats",192
2020,3,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Demanda No Aturats",88
2020,3,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Demanda No Aturats",50
2020,3,10,"Sant Martí",68,"el Poblenou","Dones","Demanda No Aturats",177
2020,3,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Demanda No Aturats",82
2020,3,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Demanda No Aturats",192
2020,3,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Demanda No Aturats",148
2020,3,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Demanda No Aturats",219
2020,3,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Demanda No Aturats",248
2020,3,99,"No consta",99,"No consta","Dones","Demanda No Aturats",481
